name,country,codeforces_id,competitions,Codeforces_rating_2025,Codeforces_rating_2024,Codeforces_rating_2023,Codeforces_rating_2022,search_confidence_percent
Daria Grekova,,arbuzick,"['IOI 2024', 'JOI 2024 JOI_open', 'OOI 2024 Qualification', 'OOI 2023 Qualification']",2763.0,2763,2673,2503,100.0
Ivan Piskarev,,qwerty1232,"['IOI 2024', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",2529.0,2529,2470,2303,100.0
Ryan Bai,Canada,skittles1412,"['IOI 2024', 'IOI 2023', 'JOI 2023 JOI_open', 'IOI 2025']",2716.0,2716,2586,2217,100.0
Shogo Amacho,Japan,PCTprobability,"['IOI 2024', 'IOI 2023', 'JOI 2025 JOI_honsen', 'JOI 2023 JOI_open', 'JOI 2024 JOI_open']",2912.0,2912,2883,2759,100.0
István Ádám Molnár,Hungary,Error-42,"['IOI 2024', 'IOI 2023', 'CEOI 2024', 'JOI 2023 JOI_open', 'JOI 2024 JOI_open', 'IOI 2025']",2399.0,2379,2272,1960,100.0
Katsuki Ota,Japan,shiomusubi496,"['IOI 2024', 'JOI 2023 JOI_open', 'JOI 2024 JOI_open', 'APIO 2025', 'IOI 2025']",2899.0,2943,2701,2456,100.0
Alejandro Vivero Puga,Spain,esomer,"['IOI 2024', 'IOI 2023', 'JOI 2024 JOI_open']",2223.0,2215,2197,1896,100.0
Amirali Asgari,Iran,AmirAli-Asgari,"['IOI 2024', 'APIO 2025', 'IOI 2025']",2639.0,2680,2659,2120,100.0
Elazar Koren,Israel,elazarkoren,"['IOI 2024', 'IOI 2023', 'CEOI 2023', 'JOI 2023 JOI_honsen', 'APIO 2023', 'IATI 2024 senior']",2417.0,2417,2559,2143,100.0
Samuel Trajtenberg,United Kingdom,sammyuri,"['IOI 2024', 'IOI 2023', 'JOI 2023 JOI_open']",2613.0,2613,2242,0,100.0
Duru Ozer,Türkiye,Weobe,['IOI 2024'],2095.0,2233,2252,2094,100.0
Rafał Mańczyk,Poland,rafi22,"['IOI 2024', 'BOI 2023', 'IOI 2023', 'CEOI 2023', 'CEOI 2024', 'JOI 2024 JOI_spring']",2718.0,2700,2602,2449,100.0
Gimran Abdullin,,bashkort,"['IOI 2024', 'JOI 2023 JOI_open', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring', 'APIO 2024', 'OOI 2023 Qualification']",2779.0,2915,2767,2413,100.0
Kshitij Sodani,India,kshitij_sodani,"['IOI 2024', 'IOI 2023', 'COCI 2023 CONTEST_#1', 'COCI 2023 CONTEST_#4', 'JOI 2023 JOI_honsen', 'JOI 2023 JOI_open', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring', 'APIO 2023']",2736.0,2736,2679,2545,100.0
Chun Wong,"Hong Kong, China",WongChun1234,"['IOI 2024', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",2445.0,2379,2281,2304,100.0
Minh Pham Cong,Vietnam,socpite,"['IOI 2024', 'TOKI 2024', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring', 'APIO 2024']",2457.0,2457,2457,2385,100.0
Bach Hoang Xuan,Vietnam,bachbeo2007,"['IOI 2024', 'TOKI 2024', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring', 'APIO 2024']",2508.0,2508,2278,2124,100.0
Debojoti Das Soumya,Bangladesh,Soumya1,"['IOI 2024', 'IOI 2023', 'JOI 2023 JOI_honsen', 'JOI 2023 JOI_open', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_spring', 'APIO 2023', 'APIO 2024', 'OOI 2023 Qualification', 'APIO 2025', 'IOI 2025']",2443.0,2548,2501,2299,100.0
Alon Tanay,Israel,Alon-Tanay,"['IOI 2024', 'IOI 2023', 'CEOI 2024', 'COCI 2023 CONTEST_#1', 'COCI 2023 CONTEST_#2', 'COCI 2023 CONTEST_#3', 'COCI 2023 CONTEST_#4', 'COCI 2023 CONTEST_#5', 'COCI 2024 CONTEST_#1', 'COCI 2024 CONTEST_#2', 'COCI 2024 CONTEST_#3', 'COCI 2024 CONTEST_#4', 'COCI 2024 CONTEST_#5', 'APIO 2023', 'IATI 2024 senior']",2607.0,2582,2638,2458,100.0
Petr Losev,,green_gold_dog,"['IOI 2024', 'JOI 2024 JOI_open', 'OOI 2024 Qualification', 'OOI 2023 Qualification']",2777.0,2777,2418,2388,100.0
Eunseong Kim,Republic of Korea,kes0716,['IOI 2024'],2571.0,2554,2260,0,100.0
Yuya Hirasawa,Japan,hirayuu_cf,"['IOI 2024', 'APIO 2025', 'IOI 2025']",2361.0,2200,1177,0,100.0
Kajetan Ramsza,Poland,Arapak,"['IOI 2024', 'CEOI 2024', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_spring']",2041.0,2041,1928,1779,100.0
Mingyu Woo,Republic of Korea,Mingyu331,"['IOI 2024', 'APIO 2023', 'APIO 2025', 'IOI 2025']",2464.0,2464,2357,2181,100.0
Jan Gwiazda,Poland,jamjanek,"['IOI 2024', 'CEOI 2024', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_spring', 'OOI 2023 Qualification']",0.0,0,0,0,100.0
Andy Wu,,awu,"['IOI 2024', 'JOI 2024 JOI_open']",2507.0,2507,2208,0,100.0
Daniel Koynov,Bulgaria,Sedmoklasnikut,"['IOI 2024', 'COCI 2024 CONTEST_#1', 'RMI 2023 contest', 'RMI 2024 contest', 'OOI 2024 Qualification', 'OOI 2023 Qualification', 'CEOI 2025']",2335.0,2335,2305,2236,100.0
Po-Kai Chen,Taiwan,becaido,"['IOI 2024', 'IOI 2023', 'JOI 2023 JOI_open', 'APIO 2024']",2599.0,2413,2430,2289,100.0
Damjan Davkov,North Macedonia,damjandavkov,"['IOI 2024', 'IOI 2023', 'TOKI 2024', 'COCI 2023 CONTEST_#3', 'COCI 2025 CONTEST_#1', 'COCI 2025 CONTEST_#2', 'COCI 2025 CONTEST_#3', 'IOI 2025']",2458.0,2458,1602,467,100.0
Rohin Garg,United States of America,purplecrayon,"['IOI 2024', 'IOI 2023', 'JOI 2024 JOI_spring']",2729.0,2729,2713,2693,100.0
Heewoo Jung,Republic of Korea,heeew,['IOI 2024'],2301.0,2301,2038,1580,100.0
Hanks Chong,United Kingdom,Hanksburger,"['IOI 2024', 'IOI 2023', 'IOI 2025']",2220.0,2220,2180,1953,100.0
Yaw Chur Zhe,Singapore,pavement,"['IOI 2024', 'IOI 2023', 'JOI 2023 JOI_honsen', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_open', 'APIO 2023']",2571.0,2621,2511,2476,100.0
Boris Mihov,Bulgaria,libobil,"['IOI 2024', 'IOI 2023', 'COCI 2023 CONTEST_#2', 'COCI 2024 CONTEST_#2', 'COCI 2025 CONTEST_#1', 'COCI 2025 CONTEST_#3', 'COCI 2025 CONTEST_#5', 'RMI 2023 contest', 'RMI 2024 contest', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_spring', 'OOI 2023 Qualification', 'IOI 2025', 'CEOI 2025']",2421.0,2581,2425,2167,100.0
Ryotaro Hayashi,Japan,Forested,"['IOI 2024', 'TOKI 2024', 'JOI 2024 JOI_open', 'APIO 2023']",2907.0,2979,2644,2526,100.0
Oscar Fischler,France,oscar1f,"['IOI 2024', 'IOI 2023', 'JOI 2023 JOI_open']",2309.0,2309,2290,1642,100.0
Min-chan Jung,Republic of Korea,mickeyjung,"['IOI 2024', 'IOI 2025']",2676.0,2600,2513,0,100.0
Tuan Nguyen Huu,Vietnam,ahihi1234,"['IOI 2024', 'TOKI 2024', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring', 'APIO 2024']",2507.0,2495,2210,2017,100.0
Rareș-Andrei Neculau,Romania,Andrei_ierdnA,"['IOI 2024', 'RMI 2023 contest', 'RMI 2024 contest', 'IOI 2025']",2572.0,2480,2191,1823,100.0
Antonín Maloň,Czech Republic,Tonyl,"['IOI 2024', 'IOI 2023']",1882.0,1973,1879,1632,100.0
Amirhossein Farkhondeh Far,Iran,amirhoseinfar1385,"['IOI 2024', 'APIO 2024', 'OOI 2023 Qualification']",2445.0,2481,2309,2173,100.0
Denys Tereshchenko,Ukraine,TheQuantiX,"['IOI 2024', 'BOI 2024', 'CEOI 2024', 'IATI 2024 senior']",2121.0,2121,2229,2052,100.0
Javier Badesa Pérez,Spain,Dalek_of_Rivia,['IOI 2024'],2158.0,2379,2165,0,100.0
Sushil Raaja Umasudhan,India,smolbrain,"['IOI 2024', 'IOI 2023', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_spring', 'APIO 2024']",2335.0,2429,2421,2170,100.0
Matthew Allan,Indonesia,MetalPower,"['IOI 2024', 'IOI 2023', 'JOI 2025 JOI_honsen', 'APIO 2023']",2197.0,2309,2261,2230,100.0
Andrei-Paul Iorgulescu,Romania,anpaio,"['IOI 2024', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",2364.0,2489,2216,1982,100.0
Maxim Tsoy,Kazakhstan,shenfe1,"['IOI 2024', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring', 'APIO 2025', 'IOI 2025']",2408.0,2446,2106,1922,100.0
Aufan Ahmad Mumtaza,Indonesia,aufannn,"['IOI 2024', 'APIO 2025', 'IOI 2025']",2254.0,2279,2208,1944,100.0
Luotian Huang,China,MagicalFlower,['IOI 2024'],3052.0,3052,3069,2890,100.0
Cengiz Eray Aslan,Türkiye,erray,"['IOI 2024', 'IOI 2023']",2457.0,2482,2436,2465,100.0
Andrii Smutchak,Ukraine,xgaz_,"['IOI 2024', 'BOI 2023', 'IOI 2023', 'CEOI 2023', 'CEOI 2024']",0.0,0,2234,2234,100.0
Berke Inan Tol,Türkiye,tolbi,"['IOI 2024', 'IOI 2023', 'JOI 2023 JOI_open', 'JOI 2024 JOI_honsen']",2344.0,2550,2305,2038,100.0
Vesselin Markovich,Bulgaria,vesselinmarkovich,"['IOI 2024', 'IOI 2023', 'RMI 2023 contest', 'RMI 2024 contest', 'IOI 2025']",2439.0,2439,2224,0,100.0
Amirreza Dorosti,Iran,Dorost,"['IOI 2024', 'APIO 2024']",2500.0,2500,2571,2602,100.0
Brian Xiao Boyang,Singapore,briX1210,"['IOI 2024', 'APIO 2025', 'IOI 2025']",2603.0,2562,2344,0,100.0
Anatole Bouton,France,anatole4242,['IOI 2024'],1780.0,1780,1495,0,100.0
Samik Goyal,India,unforgettablepl,"['IOI 2024', 'IOI 2025']",2096.0,2096,1809,0,100.0
Alex Wang,,caterpillow,"['IOI 2024', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",2248.0,2292,1584,0,100.0
Pál Czanik,Hungary,Valaki2,"['IOI 2024', 'IOI 2023', 'CEOI 2023', 'CEOI 2024', 'TOKI 2024', 'JOI 2023 JOI_open', 'IOI 2025']",2274.0,2274,2269,2107,100.0
Kwong Weng Loh,Malaysia,Nelson_loh,"['IOI 2024', 'IOI 2023']",2351.0,2351,2345,2289,100.0
Mansur Taimas,Kazakhstan,MnTm,['IOI 2024'],2257.0,2301,2206,2151,100.0
Illia Permiakov,Ukraine,160cm,"['IOI 2024', 'BOI 2024', 'CEOI 2024', 'IATI 2024 senior']",2262.0,2262,1984,1702,100.0
Timur Degteari,Moldova,timdee,"['IOI 2024', 'IOI 2023', 'IATI 2024 senior']",2406.0,2406,1849,2122,100.0
Gagik Gevorgyan,Armenia,GaGeV,"['IOI 2024', 'IOI 2023', 'COCI 2023 CONTEST_#1', 'COCI 2023 CONTEST_#2', 'APIO 2023', 'APIO 2024', 'IATI 2024 senior']",2008.0,2008,2008,2079,100.0
Sean Wanitchollakit,Thailand,NortGlG,"['IOI 2024', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_spring', 'IOI 2025']",1993.0,2096,1937,0,100.0
Kelven Nathanael,Indonesia,Nevll,"['IOI 2024', 'JOI 2025 JOI_honsen', 'APIO 2025', 'IOI 2025']",2315.0,2334,2222,2062,100.0
Ian Bobrus,Kyrgyzstan,yanb0,"['IOI 2024', 'APIO 2025']",2112.0,2112,1724,0,100.0
Martin Bierbaumer,Austria,nitram,"['IOI 2024', 'IOI 2023']",2506.0,2380,2090,2298,100.0
Jerome Austin Te,Philippines,jer033,"['IOI 2024', 'IOI 2023', 'APIO 2025', 'IOI 2025']",2144.0,2144,1451,629,100.0
Jovian Soejono,Switzerland,RecursiveCo,"['IOI 2024', 'CEOI 2023', 'IOI 2025']",2444.0,2367,2184,1265,100.0
Papangkorn Apinyanon,Thailand,sleepntsheep,"['IOI 2024', 'JOI 2025 JOI_honsen', 'COCI 2024 CONTEST_#2', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring', 'IOI 2025']",2096.0,2119,1939,1127,100.0
Alihan Aidarbekov,Kyrgyzstan,alihan_8,"['IOI 2024', 'IOI 2023', 'JOI 2024 JOI_open', 'APIO 2023', 'APIO 2025', 'IOI 2025', 'IATI 2024 senior']",1922.0,1984,2200,1649,100.0
Nemanja Majski,Serbia,nemanjaso2005,"['IOI 2024', 'IOI 2023', 'COCI 2023 CONTEST_#2', 'JOI 2023 JOI_honsen', 'JOI 2023 JOI_open', 'JOI 2023 JOI_spring', 'OOI 2023 Qualification']",2410.0,2410,2281,2122,100.0
Nazar Serazitdinov,Kazakhstan,otalp,"['IOI 2024', 'IOI 2023', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",1869.0,1869,1897,1836,100.0
Yung Ho Kwan,"Hong Kong, China",culver0412,"['IOI 2024', 'APIO 2024']",2422.0,2456,2366,2120,100.0
Lok Yin Siu,"Hong Kong, China",bedrockfake,"['IOI 2024', 'IOI 2025']",2236.0,2320,2192,0,100.0
Yahia Emara,Egypt 2,yahia_emara,"['IOI 2024', 'APIO 2024']",2218.0,2218,2185,1988,100.0
Andrey Stefanov,Bulgaria,andreystefanov,"['IOI 2024', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring', 'EJOI 2023', 'IOI 2025']",2370.0,2370,2336,2006,100.0
Raphaël Pons,France,raphaelp,"['IOI 2024', 'EJOI 2024', 'EJOI 2023', 'IOI 2025']",2044.0,2044,1773,0,100.0
Yi-Yu Chao,Taiwan,zacharychao,"['IOI 2024', 'JOI 2023 JOI_honsen', 'JOI 2023 JOI_spring']",2519.0,2427,2305,2242,100.0
Eduardo Carranza Vélez,Argentina,edu175,"['IOI 2024', 'IOI 2023', 'JOI 2024 JOI_spring']",2239.0,2469,2018,1719,100.0
Panagiotis Paskalis,Greece,panospask,"['IOI 2024', 'IOI 2023']",2116.0,2131,1861,1166,100.0
Ihnat Zharikhin,Ukraine,Ignut,"['IOI 2024', 'BOI 2024', 'CEOI 2024', 'COCI 2023 CONTEST_#1', 'COCI 2023 CONTEST_#4', 'COCI 2023 CONTEST_#5', 'JOI 2023 JOI_spring', 'IATI 2024 senior']",2235.0,2232,2017,1857,100.0
Maksym Shvedchenko,Germany,waipoli,"['IOI 2024', 'BOI 2025', 'BOI 2024', 'CEOI 2024', 'IOI 2025', 'CEOI 2025']",2434.0,2386,2183,1750,100.0
James Ray Bamber,Italy,jamesbamber,['IOI 2024'],2197.0,2249,2181,1815,100.0
Faruk Ibrahimović,Bosnia and Herzegovina,dino_merlin,"['IOI 2024', 'IOI 2023', 'IOI 2025']",2152.0,2160,2024,1862,100.0
Filipe Lalic,Brazil,Lalic,['IOI 2024'],2209.0,2209,2283,1517,100.0
Yun-Shuo Tsao,Taiwan,LittleOrange666,"['IOI 2024', 'APIO 2024']",2158.0,2304,2098,1786,100.0
Ayman Riad Solh,Morocco,aymanrs,"['IOI 2024', 'IOI 2023', 'TOKI 2024', 'JOI 2024 JOI_honsen', 'APIO 2024']",2384.0,2384,2309,2116,100.0
Trung Pham Ngoc,Vietnam,hotboy2703,"['IOI 2024', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_honsen']",2223.0,2223,2314,2140,100.0
Alessandro Lombardo,Italy,alesl0,"['IOI 2024', 'IOI 2023']",2164.0,2016,2005,1977,100.0
Elias Bauer,Switzerland,EliasBauer,"['IOI 2024', 'IOI 2023', 'CEOI 2023']",1944.0,1944,1851,1851,100.0
Adavya Goyal,United Kingdom,Boomyday12343,"['IOI 2024', 'IOI 2025']",2204.0,2204,1717,0,100.0
Onolt Khurtsbilguun,Mongolia,Onolt_kh,"['IOI 2024', 'IOI 2023', 'APIO 2023', 'APIO 2024']",2420.0,2329,2389,0,100.0
Chenyu Lin,Netherlands,2288,"['IOI 2024', 'IOI 2025']",2030.0,1837,0,0,100.0
Luca Baglietto,Italy,bestcrazynoob,"['IOI 2024', 'IOI 2023', 'RMI 2023 contest', 'RMI 2024 contest', 'IOI 2025']",1780.0,1857,1771,0,100.0
Ping-Chung Chang,Taiwan,PCC,"['IOI 2024', 'APIO 2024']",2098.0,2098,2098,1891,100.0
Theodor Beskow,Sweden,TheodorBeskow,"['IOI 2024', 'BOI 2024', 'BOI 2023', 'IOI 2023', 'NOI 2024', 'NOI 2023', 'NOINordic 2024', 'NOINordic 2023']",1849.0,1849,1742,1898,100.0
Dino Hadžić,Croatia,DinoHadzic,"['IOI 2024', 'CEOI 2024', 'JOI 2025 JOI_honsen', 'COCI 2023 CONTEST_#1_formal', 'COCI 2023 CONTEST_#2_formal', 'COCI 2023 CONTEST_#3_formal', 'COCI 2023 CONTEST_#4_formal', 'COCI 2023 CONTEST_#5_formal', 'COCI 2024 CONTEST_#1_formal', 'COCI 2024 CONTEST_#2_formal', 'COCI 2024 CONTEST_#3_formal', 'COCI 2024 CONTEST_#4_formal', 'COCI 2024 CONTEST_#5_formal', 'COCI 2025 CONTEST_#1_formal', 'COCI 2025 CONTEST_#2_formal', 'COCI 2025 CONTEST_#3_formal', 'COCI 2025 CONTEST_#4_formal', 'RMI 2023 contest', 'RMI 2024 contest', 'JOI 2024 JOI_spring', 'COCI 2025 CONTEST_#5_formal', 'IOI 2025', 'CEOI 2025']",2331.0,2300,1970,1689,100.0
Irmuun Chinbat,Mongolia,Irmuun.Ch,"['IOI 2024', 'APIO 2024', 'APIO 2025', 'IOI 2025']",2390.0,2402,2360,2158,100.0
Nathan Zhou,,DoubleSlash,"['IOI 2024', 'JOI 2024 JOI_open']",981.0,0,0,0,100.0
Francesco Vercellesi,Italy,fve5,"['IOI 2024', 'IOI 2023', 'COCI 2023 CONTEST_#1', 'COCI 2023 CONTEST_#2', 'COCI 2023 CONTEST_#3', 'COCI 2023 CONTEST_#4', 'COCI 2024 CONTEST_#1', 'COCI 2024 CONTEST_#2', 'COCI 2024 CONTEST_#3', 'COCI 2025 CONTEST_#1']",0.0,0,0,0,100.0
Markos Radaios,Greece,radaiosm7,"['IOI 2024', 'IOI 2023']",1927.0,1927,1660,1722,100.0
Jelle van der Drift,Netherlands,j_vdd16,"['IOI 2024', 'JOI 2024 JOI_open']",1933.0,1895,0,0,100.0
Parsa Farjpoursarabi,Iran,ParsaDox,"['IOI 2024', 'OOI 2023 Qualification']",2517.0,2632,2328,2233,100.0
Kristjan Lepp,Estonia,kl0989e,"['IOI 2024', 'BOI 2025', 'BOI 2024', 'EJOI 2024', 'COCI 2024 CONTEST_#2', 'COCI 2024 CONTEST_#3', 'COCI 2025 CONTEST_#2', 'COCI 2025 CONTEST_#4', 'IOI 2025']",2142.0,2113,0,0,100.0
Nikola Vujica,Croatia,nvujica,"['IOI 2024', 'CEOI 2024', 'COCI 2023 CONTEST_#1_formal', 'COCI 2023 CONTEST_#2_formal', 'COCI 2023 CONTEST_#3_formal', 'COCI 2023 CONTEST_#4_formal', 'COCI 2023 CONTEST_#5_formal', 'COCI 2024 CONTEST_#1_formal', 'COCI 2024 CONTEST_#2_formal', 'COCI 2024 CONTEST_#3_formal', 'COCI 2024 CONTEST_#4_formal', 'COCI 2024 CONTEST_#5_formal', 'COCI 2025 CONTEST_#1_formal', 'COCI 2025 CONTEST_#2_formal', 'COCI 2025 CONTEST_#3_formal', 'COCI 2025 CONTEST_#4_formal', 'RMI 2023 contest', 'RMI 2024 contest', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_spring', 'COCI 2025 CONTEST_#5_formal', 'IOI 2025', 'CEOI 2025']",1889.0,1990,2035,1770,100.0
Mariza Paspalli,Cyprus,mariza_CY,"['IOI 2024', 'EGOI 2024', 'EJOI 2024', 'IOI 2025', 'EGOI 2025', 'EJOI 2025']",2007.0,1934,1465,0,100.0
Theofanis Orfanou,Cyprus,Theo830,"['IOI 2024', 'IOI 2023', 'JOI 2023 JOI_open', 'IOI 2025']",2377.0,2421,2385,2257,100.0
Dzmitry Harbatouski,,topovik,"['IOI 2024', 'OOI 2023 Qualification']",2238.0,2238,2157,2157,100.0
Ahmed Gamal,Egypt,TheMaverick,"['IOI 2024', 'COCI 2024 CONTEST_#1', 'COCI 2024 CONTEST_#2', 'COCI 2024 CONTEST_#3']",0.0,0,0,0,100.0
Simon Bachran,Germany,sim_ba,"['IOI 2024', 'CEOI 2024']",2030.0,2030,955,0,100.0
Kunthee Yongvanich,Thailand,kunzaZa183,"['IOI 2024', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_open', 'APIO 2023', 'APIO 2025']",2140.0,2121,1975,1741,100.0
Aykhan Damirli,Azerbaijan,dmraykhan,"['IOI 2024', 'CEOI 2024', 'TOKI 2024', 'COCI 2023 CONTEST_#5', 'COCI 2024 CONTEST_#1', 'COCI 2024 CONTEST_#2', 'COCI 2024 CONTEST_#3', 'COCI 2024 CONTEST_#5', 'COCI 2025 CONTEST_#1', 'COCI 2025 CONTEST_#3', 'COCI 2025 CONTEST_#4', 'JOI 2024 JOI_spring', 'APIO 2023', 'EJOI 2023', 'OOI 2023 Qualification', 'APIO 2025', 'IOI 2025', 'IATI 2024 senior']",2363.0,2415,2166,1039,100.0
Noyan Cantürk,Türkiye,Nummer_64,"['IOI 2024', 'IOI 2025']",2419.0,2236,1945,1387,100.0
Miloš Milutinović,Serbia,wxhtzdy,"['IOI 2024', 'IOI 2023', 'TOKI 2024', 'JOI 2023 JOI_honsen', 'JOI 2023 JOI_open', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_spring', 'OOI 2023 Qualification']",2562.0,2339,2405,2466,100.0
Kang Yiming,Singapore,kymmykym,"['IOI 2024', 'JOI 2023 JOI_honsen']",2253.0,2253,2253,1861,100.0
Arthur Lobo Leite Lopes,Brazil,lobolobo,"['IOI 2024', 'IOI 2023']",2342.0,2364,2292,2208,100.0
Moez Mahmoud,Egypt,Octagons,"['IOI 2024', 'TOKI 2024', 'COCI 2024 CONTEST_#1', 'COCI 2024 CONTEST_#2', 'COCI 2024 CONTEST_#3']",2123.0,2274,1972,0,100.0
Jakov Celin,Croatia,celin,"['IOI 2024', 'COCI 2023 CONTEST_#1', 'COCI 2023 CONTEST_#1_formal', 'COCI 2023 CONTEST_#2', 'COCI 2023 CONTEST_#2_formal', 'COCI 2023 CONTEST_#3', 'COCI 2023 CONTEST_#3_formal', 'COCI 2023 CONTEST_#4_formal', 'COCI 2023 CONTEST_#5', 'COCI 2023 CONTEST_#5_formal', 'COCI 2024 CONTEST_#1', 'COCI 2024 CONTEST_#1_formal', 'COCI 2024 CONTEST_#2_formal', 'COCI 2024 CONTEST_#3', 'COCI 2024 CONTEST_#3_formal', 'COCI 2024 CONTEST_#4', 'COCI 2024 CONTEST_#4_formal', 'COCI 2024 CONTEST_#5', 'COCI 2024 CONTEST_#5_formal']",2140.0,2178,2105,1722,100.0
Lovro Tunjić,Croatia,ltunjic,"['IOI 2024', 'CEOI 2024', 'TOKI 2024', 'COCI 2023 CONTEST_#1_formal', 'COCI 2023 CONTEST_#2_formal', 'COCI 2023 CONTEST_#3_formal', 'COCI 2023 CONTEST_#4_formal', 'COCI 2023 CONTEST_#5_formal', 'COCI 2024 CONTEST_#1_formal', 'COCI 2024 CONTEST_#2_formal', 'COCI 2024 CONTEST_#3_formal', 'COCI 2024 CONTEST_#4_formal', 'COCI 2024 CONTEST_#5_formal', 'COCI 2025 CONTEST_#1_formal', 'COCI 2025 CONTEST_#2_formal', 'COCI 2025 CONTEST_#3_formal', 'COCI 2025 CONTEST_#4_formal', 'RMI 2023 contest', 'RMI 2024 contest', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring', 'COCI 2025 CONTEST_#5_formal', 'IOI 2025', 'CEOI 2025']",1931.0,1987,1921,1647,100.0
Abdelmaged Nour,Egypt,AbdelmagedNour,"['IOI 2024', 'IOI 2023', 'JOI 2025 JOI_honsen', 'TOKI 2024', 'JOI 2023 JOI_open', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring', 'APIO 2024']",2148.0,2292,2275,2161,100.0
Rareș-Felix Tudose,Romania,RaresFelix,"['IOI 2024', 'CEOI 2024', 'JOI 2024 JOI_spring', 'IOI 2025']",2668.0,2668,2324,0,100.0
